Observation;N_Sp;Specie;Germination response ;Fruit type;Seed dispersal mechanism ;Seed storage behavior;Seed dormancy;Ecological guild of the species;Fruit width (cm) ;Fruit length (cm);Seed mass (g);Seed length (cm) ;Seed width (cm)
1;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;1.07;1.2;0.0746;0.71;0.85
2;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.88;1.15;0.0746;0.71;0.85
3;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.88;1.25;0.0746;0.71;0.85
4;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;1.03;1.5;0.0746;0.71;0.85
5;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;1.15;1.59;0.0746;0.71;0.85
6;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.83;0.68;0.0746;0.71;0.85
7;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.7;0.83;0.0746;0.71;0.85
8;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.75;0.93;0.0746;0.71;0.85
9;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.81;0.87;0.0746;0.71;0.85
10;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.85;0.85;0.0746;0.71;0.85
11;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.68;1.02;0.0746;0.71;0.85
12;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.67;0.69;0.0746;0.71;0.85
13;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.54;0.8;0.0746;0.71;0.85
14;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.75;0.7;0.0746;0.71;0.85
15;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.6;0.66;0.0746;0.71;0.85
16;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.52;0.82;0.0746;0.71;0.85
17;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.49;0.74;0.0746;0.71;0.85
18;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.52;0.63;0.0746;0.71;0.85
19;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.63;0.49;0.0746;0.71;0.85
20;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.56;0.68;0.0746;0.71;0.85
21;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.55;0.69;0.0746;0.71;0.85
22;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.56;0.66;0.0746;0.71;0.85
23;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.56;0.69;0.0746;0.71;0.85
24;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.6;0.78;0.0746;0.71;0.85
25;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.69;0.65;0.0746;0.71;0.85
26;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.76;0.63;0.0746;0.71;0.85
27;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.69;0.66;0.0746;0.71;0.85
28;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.57;0.51;0.0746;0.71;0.85
29;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.64;0.53;0.0746;0.71;0.85
30;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.3;0.48;0.0746;0.71;0.85
31;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.32;0.61;0.0746;0.71;0.85
32;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.29;0.61;0.0746;0.71;0.85
33;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.44;0.56;0.0746;0.71;0.85
34;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.36;0.88;0.0746;0.71;0.85
35;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.3;0.83;0.0746;0.71;0.85
36;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.31;0.71;0.0746;0.71;0.85
37;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.66;0.79;0.0746;0.71;0.85
38;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.57;0.75;0.0746;0.71;0.85
39;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.57;0.77;0.0746;0.71;0.85
40;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.62;0.77;0.0746;0.71;0.85
41;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.62;0.71;0.0746;0.71;0.85
42;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.71;0.77;0.0746;0.71;0.85
43;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.71;0.82;0.0746;0.71;0.85
44;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.58;0.82;0.0746;0.71;0.85
45;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.63;0.81;0.0746;0.71;0.85
46;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.65;0.87;0.0746;0.71;0.85
47;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.61;0.79;0.0746;0.71;0.85
48;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.74;0.62;0.0746;0.71;0.85
49;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.64;0.7;0.0746;0.71;0.85
50;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.67;0.78;0.0746;0.71;0.85
51;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.63;0.85;0.0746;0.71;0.85
52;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.6;0.82;0.0746;0.71;0.85
53;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.6;0.78;0.0746;0.71;0.85
54;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.55;0.75;0.0746;0.71;0.85
55;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.68;0.68;0.0746;0.71;0.85
56;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.65;0.76;0.0746;0.71;0.85
57;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.8;0.95;0.0746;0.71;0.85
58;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.82;0.98;0.0746;0.71;0.85
59;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.73;1.03;0.0746;0.71;0.85
60;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.84;1;0.0746;0.71;0.85
61;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;1.06;0.91;0.0746;0.71;0.85
62;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.83;1.14;0.0746;0.71;0.85
63;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.79;1.16;0.0746;0.71;0.85
64;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.71;1.01;0.0746;0.71;0.85
65;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.8;0.95;0.0746;0.71;0.85
66;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.73;0.95;0.0746;0.71;0.85
67;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.74;0.89;0.0746;0.71;0.85
68;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.84;1.04;0.0746;0.71;0.85
69;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.9;1.06;0.0746;0.71;0.85
70;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.81;0.92;0.0746;0.71;0.85
71;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.88;1.09;0.0746;0.71;0.85
72;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.86;1;0.0746;0.71;0.85
73;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;1;0.97;0.0746;0.71;0.85
74;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.45;1.23;0.0746;0.71;0.85
75;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.63;1.5;0.0746;0.71;0.85
76;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.58;1.16;0.0746;0.71;0.85
77;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.6;1.33;0.0746;0.71;0.85
78;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.58;1.08;0.0746;0.71;0.85
79;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.58;1.41;0.0746;0.71;0.85
80;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.6;0.65;0.0746;0.71;0.85
81;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.56;0.67;0.0746;0.71;0.85
82;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.52;0.7;0.0746;0.71;0.85
83;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.59;0.69;0.0746;0.71;0.85
84;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.53;0.7;0.0746;0.71;0.85
85;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.82;0.67;0.0746;0.71;0.85
86;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.68;0.82;0.0746;0.71;0.85
87;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.78;0.77;0.0746;0.71;0.85
88;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.7;0.75;0.0746;0.71;0.85
89;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.76;0.66;0.0746;0.71;0.85
90;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.8;0.93;0.0746;0.71;0.85
91;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.81;0.88;0.0746;0.71;0.85
92;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.97;0.9;0.0746;0.71;0.85
93;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.83;0.95;0.0746;0.71;0.85
94;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.74;1;0.0746;0.71;0.85
95;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.73;0.84;0.0746;0.71;0.85
96;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.74;1.1;0.0746;0.71;0.85
97;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.7;0.9;0.0746;0.71;0.85
98;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.74;0.7;0.0746;0.71;0.85
99;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.72;0.77;0.0746;0.71;0.85
100;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.65;0.72;0.0746;0.71;0.85
101;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.53;0.77;0.0746;0.71;0.85
102;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.6;0.92;0.0746;0.71;0.85
103;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.82;0.64;0.0746;0.71;0.85
104;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.7;0.64;0.0746;0.71;0.85
105;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.8;0.95;0.0746;0.71;0.85
106;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.76;1;0.0746;0.71;0.85
107;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;1;0.91;0.0746;0.71;0.85
108;Sp1;Casearia corymbosa;Stimulated;Capsule;Zoochory;Recalcitrant;Non Dormant;Sciophyte;0.6;1;0.0746;0.71;0.85
1;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.15;0.72;0.020;0.90;1.30
2;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.19;0.74;0.020;0.90;1.30
3;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.22;0.72;0.020;0.90;1.30
4;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.16;0.64;0.020;0.90;1.30
5;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.15;0.77;0.020;0.90;1.30
6;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.14;0.72;0.020;0.90;1.30
7;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.14;0.74;0.020;0.90;1.30
8;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.16;0.72;0.020;0.90;1.30
9;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.21;0.69;0.020;0.90;1.30
10;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.14;0.77;0.020;0.90;1.30
11;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.16;0.75;0.020;0.90;1.30
12;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.12;0.82;0.020;0.90;1.30
13;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.21;0.71;0.020;0.90;1.30
14;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.2;0.69;0.020;0.90;1.30
15;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.23;0.67;0.020;0.90;1.30
16;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.16;0.63;0.020;0.90;1.30
17;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.2;0.7;0.020;0.90;1.30
18;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.18;0.54;0.020;0.90;1.30
19;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.15;0.8;0.020;0.90;1.30
20;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.21;0.66;0.020;0.90;1.30
21;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.2;0.66;0.020;0.90;1.30
22;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.17;0.6;0.020;0.90;1.30
23;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.28;0.6;0.020;0.90;1.30
24;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.28;0.7;0.020;0.90;1.30
25;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.23;0.72;0.020;0.90;1.30
26;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.25;0.72;0.020;0.90;1.30
27;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.19;0.69;0.020;0.90;1.30
28;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.25;0.7;0.020;0.90;1.30
29;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.26;0.7;0.020;0.90;1.30
30;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.24;0.53;0.020;0.90;1.30
31;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.24;0.86;0.020;0.90;1.30
32;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.22;0.85;0.020;0.90;1.30
33;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.22;0.85;0.020;0.90;1.30
34;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.22;0.88;0.020;0.90;1.30
35;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.2;0.82;0.020;0.90;1.30
36;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.2;0.78;0.020;0.90;1.30
37;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.16;0.8;0.020;0.90;1.30
38;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.2;0.76;0.020;0.90;1.30
39;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.22;0.82;0.020;0.90;1.30
40;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.16;0.82;0.020;0.90;1.30
41;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.16;0.85;0.020;0.90;1.30
42;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.14;0.78;0.020;0.90;1.30
43;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.18;0.75;0.020;0.90;1.30
44;Sp2;Cordia alliodora;Stimulated;Nut;Anemochory;Orthodox;Non Dormant;Heliophyte;0.21;0.79;0.020;0.90;1.30
1;Sp3;Eugenia micrantha;Stimulated;Berry;Zoochory;Recalcitrant;Dormant;Heliophyte;0.6;1;;0.56;0.6
1;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.83;2.57;0.087;2.87;3.50
2;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.95;2.84;0.087;2.87;3.50
3;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;1;3.17;0.087;2.87;3.50
4;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;1.06;3.1;0.087;2.87;3.50
5;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.96;3.08;0.087;2.87;3.50
6;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.92;3.18;0.087;2.87;3.50
7;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;1.04;3.25;0.087;2.87;3.50
8;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.98;2.93;0.087;2.87;3.50
9;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;1.06;2.85;0.087;2.87;3.50
10;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;1.05;3.27;0.087;2.87;3.50
11;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.99;3.19;0.087;2.87;3.50
12;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.99;3.21;0.087;2.87;3.50
13;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.82;2.9;0.087;2.87;3.50
14;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;1.04;3;0.087;2.87;3.50
15;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;1;3.72;0.087;2.87;3.50
16;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;1;2.82;0.087;2.87;3.50
17;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.83;3.13;0.087;2.87;3.50
18;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;1.12;3.38;0.087;2.87;3.50
19;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.99;3.5;0.087;2.87;3.50
20;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;1.07;3.57;0.087;2.87;3.50
21;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;1;3.06;0.087;2.87;3.50
22;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;1;4.47;0.087;2.87;3.50
23;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.95;4.09;0.087;2.87;3.50
24;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.9;3.36;0.087;2.87;3.50
25;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.8;3.72;0.087;2.87;3.50
26;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;1;3.89;0.087;2.87;3.50
27;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.94;4.41;0.087;2.87;3.50
28;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.95;4.27;0.087;2.87;3.50
29;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.95;4.23;0.087;2.87;3.50
30;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.95;4.18;0.087;2.87;3.50
31;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.99;4.19;0.087;2.87;3.50
32;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.93;4.07;0.087;2.87;3.50
33;Sp4;Machaerium capote;Stimulated;Legume;Anemochory;Orthodox;Non Dormant;Sciophyte;0.95;4.14;0.087;2.87;3.50
